[06:00:50] window up for master Panelpress
[06:04:55] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:56] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:57] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:58] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:59] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:00] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:01] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:02] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:03] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:04] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:05] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:06] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:07] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:08] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:09] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:10] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:11] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:12] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:13] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:14] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:15] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:16] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:17] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:18] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:19] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:20] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:21] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:22] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:23] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:24] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:25] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:26] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:27] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:28] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:29] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:30] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:31] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:32] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:33] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:34] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:35] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:36] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:37] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:38] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:39] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:40] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:41] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:42] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:43] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:44] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:45] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:46] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:47] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:48] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:49] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:50] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:51] summary="This character's party has no bots in it yet." report='Working -- the server is being asked. This can take a few seconds.' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:52] summary="This character's party has no bots in it yet." report='Working -- the server is being asked. This can take a few seconds.' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:53] summary="This character's party has no bots in it yet." report='Kiteema joined the party, geared and specced.' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:54] summary="This character's party has no bots in it yet." report='Kiteema joined the party, geared and specced.' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:55] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:56] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:57] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:58] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:05:59] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:00] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:01] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:02] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:03] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:04] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:05] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:06] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:07] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:08] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:09] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:10] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:11] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:12] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:13] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:14] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:15] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:16] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:17] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:18] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:19] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:20] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:21] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:22] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:23] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:24] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:25] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:26] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:27] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:28] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:29] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:30] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:06:31] summary='1 bot in this party.' report='Kiteema joined the party, geared and specced.' rows=['Kiteema — level 1 — class 8'] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
